epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,6359.81,0.87942,1.35331,0.61026,0.92423,0.83699,0.84366,0.84425,0.5918,0.79265,0.78499,0.81152,0.52952,1.01686,1.27278,0.64312,1.00256,0.000459045,0.000459045,0.000459045
52,6482.26,0.83216,1.31711,0.57007,0.90629,0.83807,0.87751,0.8744,0.59497,0.79539,0.78808,0.81325,0.53074,1.00067,1.26077,0.646,1.00573,0.000450046,0.000450046,0.000450046
53,6601.89,0.8032,1.25631,0.55566,0.91003,0.81135,0.85042,0.85211,0.61611,0.79752,0.78733,0.81231,0.52974,0.91936,1.20914,0.62051,0.98492,0.000441047,0.000441047,0.000441047
54,6727.14,0.8634,1.3577,0.57324,0.91574,0.79508,0.86388,0.85072,0.5878,0.93323,0.77583,0.80786,0.52831,1.04787,1.2581,0.64943,1.03782,0.000432048,0.000432048,0.000432048
55,6852,0.86355,1.33613,0.58897,0.91791,0.81796,0.84658,0.85042,0.61118,0.78691,0.77877,0.8067,0.53699,0.94238,1.24711,0.62819,0.98044,0.000423049,0.000423049,0.000423049
56,6978.24,0.85858,1.31621,0.56844,0.91051,0.84116,0.83098,0.84936,0.60489,0.79205,0.76517,0.80683,0.53766,0.9838,1.2357,0.63353,0.99103,0.000414049,0.000414049,0.000414049
57,7103.19,0.86194,1.30489,0.57029,0.90913,0.82188,0.85383,0.85092,0.60287,0.85763,0.77233,0.83178,0.53346,0.98541,1.22616,0.63361,1.00797,0.00040505,0.00040505,0.00040505
58,7227.36,0.83704,1.3135,0.56153,0.89887,0.82749,0.83559,0.84046,0.59356,0.78469,0.77393,0.8041,0.52525,0.99305,1.22213,0.62956,1.02194,0.000396051,0.000396051,0.000396051
59,7348.96,0.85253,1.30263,0.54745,0.90606,0.81814,0.84867,0.83771,0.56784,0.77513,0.79148,0.80734,0.5344,1.11791,1.27365,0.64765,1.06921,0.000387052,0.000387052,0.000387052
60,7472.09,0.85846,1.31027,0.55765,0.89987,0.79562,0.8561,0.83996,0.57608,0.78945,0.77254,0.80707,0.5371,1.10999,1.29536,0.64919,1.0514,0.000378053,0.000378053,0.000378053
